19h45m10s;-13;49;73;58;30
19h45m12s;2;44;78;23;9
19h45m12s;20;65;92;42;87
19h45m13s;-17;27;29;40;12
19h45m13s;-17;69;9;57;60
19h45m14s;13;99;78;16;35
19h45m14s;27;26;12;67;10
19h45m15s;13;79;49;79;21
19h45m15s;-3;72;93;36;85
19h45m18s;-13;49;73;58;30
19h45m19s;2;44;78;23;9
19h45m20s;20;65;92;42;87
19h45m20s;-17;27;29;40;12
19h45m21s;-17;69;9;57;60
19h45m21s;13;99;78;16;35
19h45m22s;27;26;12;67;10
19h45m22s;13;79;49;79;21
19h45m23s;-3;72;93;36;85
19h45m23s;25;28;91;94;57
19h45m24s;-19;53;8;44;68
19h45m24s;20;24;96;30;3
19h45m25s;2;66;49;24;1
19h45m25s;-17;77;8;28;33
19h45m26s;28;81;35;13;65
19h45m26s;-6;63;36;25;69
19h45m27s;-5;94;29;1;17
19h45m27s;25;5;4;51;98
19h45m28s;18;23;5;82;52
19h45m28s;-4;16;37;38;44
19h45m29s;-19;97;71;28;37
19h45m29s;-12;77;97;94;4
19h45m30s;-11;31;45;75;35
19h45m30s;28;42;99;68;12
